id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	catalogNumber	individualCount	year	month	day	fieldNotes	waterBody	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	identifiedBy	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship
urn:catalog:AADC:NSSD:NSSD-3855	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-3855	8	1981	01	02	Observed for 90 minutes.	Southern Ocean	Australia		0	0	-54.6666666667	-56.5833333333	500		Mirounga leonina	Animalia	Chordata	Mammalia	Pinnepedia	Phocidae	Mirounga	leonina		(Linnaeus,1758)
urn:catalog:AADC:NSSD:NSSD-5140	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5140	4	1986	11	02		Southern Ocean	Australia	NE of Port Douglas QLD	0	0	-16.8333333333	146	500		Stenella longirostris	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris		(Gray,1828)
urn:catalog:AADC:NSSD:NSSD-5139	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5139	16	1986	10	24		Southern Ocean	Australia		0	0	-16.8333333333	150.25	500		Stenella longirostris	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris		(Gray,1828)
urn:catalog:AADC:NSSD:NSSD-5117	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5117	30	1987	12	13		Southern Ocean	Australia	North of NZ	0	0	-32.7166666667	174.116666667	500		Stenella longirostris	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris		(Gray,1828)
urn:catalog:AADC:NSSD:NSSD-5073	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5073	12	1992	09	12	Dorsal very prominent. Around mouth of river near fresh water.	Southern Ocean	Australia	Dillon Bay, Erromango Island	0	0			500		Stenella longirostris	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris		(Gray,1828)
urn:catalog:AADC:NSSD:NSSD-5229	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5229	50	1993	06	20		Southern Ocean	Australia	West of Guadalcanal Solomon Is	0	0	-10.4833333333	157.633333333	500		Stenella longirostris	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris		(Gray,1828)
urn:catalog:AADC:NSSD:NSSD-3824	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-3824	0	1980	11	16		Southern Ocean	Australia	S.E. Singapore	0	0	0	105	500		Stenella longirostris	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris		(Gray,1828)
urn:catalog:AADC:NSSD:NSSD-3902	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-3902	100	1981	04	12	Close to Helen Reef - leaping and playing.	Southern Ocean	Australia		0	0	-2.83333333333	-131.75	500		Stenella longirostris	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris		(Gray,1828)
urn:catalog:AADC:NSSD:NSSD-3900	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-3900	30	1981	04	06	Stayed close to ship's bow for while but could not maintain speed.	Southern Ocean	Australia		0	0	-1.41666666667	143.25	500		Stenella longirostris	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris		(Gray,1828)
urn:catalog:AADC:NSSD:NSSD-3899	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-3899	100	1981	04	03	Many photos taken playing around zodiac and swimming with passengers.	Southern Ocean	Australia		0	0	-6.76666666667	147.933333333	500		Stenella longirostris	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris		(Gray,1828)
urn:catalog:AADC:NSSD:NSSD-4363	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-4363	20	1992	08	20		Southern Ocean	Australia	South Bellona Reef	0	0	-21.8166666667	159.516666667	500		Stenella longirostris	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris		(Gray,1828)
urn:catalog:AADC:NSSD:NSSD-4353	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-4353	3	1992	07	12		Southern Ocean	Australia		0	0	-26.3	162.616666667	500		Stenella longirostris	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris		(Gray,1828)
urn:catalog:AADC:NSSD:NSSD-5673	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5673	1	1997	06	28	swam slowly N to Walker Island, turn S along W side of Maatsuyker Island 200m off, rounded south of Maatsuyker group and sast seen heading SE 5-6km off  slow casual blow 2-3 times then dive close to surface, audible short sharp pheew the blow of the animal was not very high	Southern Ocean	Australia	W&S of Maatsuyker Is. Tas	0	0	-43.65	146.266666667	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-5665	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5665	1	1997	08	11	travelled with yacht under motor for 20-30 minutes 3 to 5 metres from yacht	Southern Ocean	Australia	11km off Cape Hawke, NSW	0	0	-32.2166666667	152.916666667	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-5133	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5133	1	1986	11	01		Southern Ocean	Australia	Off Proserpine Qld	0	0	-21	151	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-5660	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5660	1	1992	10	06	No breathing sound, appeared dead. Triple small dorsal fin.	Southern Ocean	Australia	300 miles south south-west fro	0	0	.0333333333333	160.833333333	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-5656	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5656	1	1992	08	23	White underneath	Southern Ocean	Australia	Between Gizo and Rabaul	0	0	-7.5	154.533333333	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-5646	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5646	1	1994	07	06	playing around ship and diving underneath, See file Part 6	Southern Ocean	Australia		0	0	-44.7666666667	147.333333333	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
